"filename", "language", "Go", "HTML", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/gif.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/html.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/jpeg.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/jpg.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/log.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/mp3.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/mp4.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/pdf.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/png.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/ppt.svg", "XML", 0, 0, 24, 0, 0, 0, 0, 1, 25
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/pptx.svg", "XML", 0, 0, 24, 0, 0, 0, 0, 1, 25
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/psd.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/rar.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/svg.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/torrent.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/txt.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/unknown.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/xls.svg", "XML", 0, 0, 25, 0, 0, 0, 0, 1, 26
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/xlsx.svg", "XML", 0, 0, 25, 0, 0, 0, 0, 1, 26
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/default/exts/zip.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 1, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/themes/iframe.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 12, 64
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/third-party/SyntaxHighlighter/shCore.js", "JavaScript", 0, 0, 0, 2382, 0, 0, 713, 561, 3656
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/third-party/SyntaxHighlighter/shCoreDefault.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/third-party/clipboard/clipboard.js", "JavaScript", 0, 0, 0, 515, 0, 0, 125, 113, 753
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/third-party/codemirror/codemirror.css", "CSS", 0, 0, 0, 0, 91, 0, 3, 13, 107
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/js/third-party/codemirror/codemirror.js", "JavaScript", 0, 0, 0, 3208, 0, 0, 186, 188, 3582
